Gene_id	Description	T5min_1	T5min_2	T5min_3	T15min_1	T15min_2	T15min_3	T4h_1	T4h_2	T4h_3	T8h_1	T8h_2	T8h_3	T12h_1	T12h_2	T12h_3	T24h_1	T24h_2	T24h_3	T48h_1	T48h_2	T48h_3	T72h_1	T72h_2	T72h_3	T120h_1	T120h_2	T120h_3	T221h_1	T221h_2	T221h_3	T288h_1	T288h_2	T288h_3	T290h_1	T290h_2	T290h_3	T292h_1	T292h_2	T292h_3	T294h_1	T294h_2	T294h_3	T296h_1	T296h_2	T296h_3	T296h_1prim	T296h_2prim	T296h_3prim
CEG38297	Armadillo-type_fold	520	486	738	551	790	873	7	28	45	2	3	0	3	0	0	3	0	0	1	13	0	1	1	1	18	11	21	164	56	267	435	479	210	274	654	644	363	332	486	306	272	482	1127	1511	247	1438	1701	1340
CEG38298	WW_domain	3568	3210	3419	4042	4313	3887	8	17	21	5	32	11	7	0	8	18	5	21	31	100	14	35	24	36	146	59	139	1205	310	1347	2009	2445	1400	1193	2126	2487	1860	1731	2052	2120	1888	3136	2930	5475	1167	6332	5024	7487
CEG38299	e3_ubiquitin_ligase	2599	2279	2422	3898	4177	2719	5	33	29	6	1	2	0	2	0	0	0	1	5	3	4	0	5	3	13	4	2	68	16	82	131	180	65	57	76	89	89	60	56	86	102	149	162	646	55	748	414	981
CEG38300	hypothetical_protein	1364	849	860	924	823	720	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	2	26	5	23	49	57	27	50	81	65	38	65	49	38	58	57	207	353	30	343	292	436
CEG38301	histone-lysine_n-methyltransferase_setd3_isoform_a	73	46	41	118	112	94	0	0	13	3	6	2	2	2	5	11	2	11	32	39	14	27	17	25	81	38	66	384	99	317	368	318	208	153	325	350	143	122	166	81	137	263	121	108	184	44	81	182
CEG38302	zinc-binding_region-containing_partial	45	25	33	29	23	23	223	332	467	10	37	8	18	20	19	21	15	47	8	34	6	4	1	5	29	10	18	147	44	173	237	305	162	186	344	478	229	262	322	235	188	335	218	255	107	260	249	319
CEG38303	Uncharacterized_conserved_protein	227	223	324	239	274	300	24	9	9	15	43	20	10	10	21	16	3	24	4	32	13	16	5	26	64	37	40	484	123	397	606	672	394	343	719	740	485	443	477	458	408	804	426	477	338	566	614	645
CEG38304	ubiquitin-conjugating_enzyme_e2	830	876	632	882	863	606	3	5	8	2	10	9	35	8	62	159	59	204	100	157	19	20	31	31	183	113	189	3027	769	2858	3208	3919	2207	1887	4495	3343	1969	1479	1846	1943	2211	2924	1455	1482	1774	1372	1539	1984
CEG38305	Protein_associated_with_transcriptional_elongation_factor_ELL	26	43	47	56	57	86	0	0	3	4	0	16	15	6	8	6	11	16	6	6	0	0	10	6	23	18	13	124	39	116	180	199	80	80	212	201	97	95	108	100	134	156	42	22	90	11	34	59
CEG38306	hypothetical_protein	46	19	34	32	29	44	0	0	1	0	10	0	9	3	1	6	4	5	3	17	8	11	9	14	237	141	248	3128	1023	4359	2161	2487	1079	437	1321	748	675	279	386	555	771	803	230	74	891	53	58	283
CEG38307	formate-dihydrofolate_ligase	779	1052	895	877	977	838	44	29	63	14	84	31	61	24	50	64	12	68	63	135	35	54	72	130	265	167	203	1437	332	1414	1992	2398	1234	1088	2084	2169	1307	1182	1375	1235	1236	1779	1242	1442	1487	1468	1577	1731
CEG38308	hypothetical_protein	57	64	53	74	76	44	1	6	1	24	107	54	41	41	37	32	11	16	0	2	0	0	0	0	0	0	2	2	0	0	1	0	0	0	0	0	0	0	4	16	4	15	6	6	4	9	12	7
CEG38309	hypothetical_protein	130	189	193	163	195	237	153	272	474	458	1728	1472	407	348	589	169	57	153	42	54	8	13	17	45	34	21	30	53	18	44	138	213	106	180	136	167	183	139	146	447	456	691	344	522	249	403	427	593
CEG38310	hypothetical_protein	38	31	27	30	26	43	0	0	0	0	6	2	0	0	5	0	0	0	5	9	5	1	3	1	4	5	10	15	7	10	40	47	32	14	60	71	38	53	21	15	21	14	7	4	19	7	8	13
CEG38311	hypothetical_protein	16	18	13	13	32	33	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	2	7	0	4	11	10	8	8	13	13	11	18	15	7	17	30	8	17	7	10	14	20
CEG38312	hypothetical_protein	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEG38313	hypothetical_protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEG38314	Uncharacterized_conserved_protein	118	136	163	135	163	201	3	1	7	6	17	13	15	2	16	11	3	7	14	14	2	5	10	23	47	18	39	253	58	261	407	469	236	277	456	436	323	293	298	308	255	502	221	261	235	275	286	308
CEG38315	hypothetical_protein	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1
CEG38316	hypothetical_protein	0	0	0	2	2	0	9	15	34	0	3	6	0	0	0	0	0	0	7	2	1	0	0	0	8	0	2	0	7	4	8	4	1	0	3	5	10	3	0	1	0	3	2	0	1	3	1	1
CEG38317	ptype_atpase	13	13	7	15	7	11	2	4	6	14	15	24	12	7	7	14	0	9	10	25	9	7	7	9	47	13	16	54	37	74	204	196	98	99	145	150	59	54	77	44	54	51	10	4	55	0	0	0
CEG38318	Exosomal_3'-5'_exoribonuclease_complex,_subunit_Rrp46	1251	1315	1057	1570	1373	1238	61	49	70	24	123	85	50	34	54	24	26	37	64	109	32	62	45	59	143	63	140	742	188	649	1284	1423	794	657	1250	1178	646	469	543	411	448	703	382	379	469	420	343	559
CEG38319	Molecular_chaperone_(DnaJ_superfamily)	1649	1588	1091	1357	1121	998	9	19	22	8	30	33	29	28	43	40	26	17	30	73	15	13	22	44	89	34	72	478	114	510	603	919	518	518	750	964	823	850	902	1061	960	1291	3199	3911	811	4060	3574	2945
CEG38320	cysteine_dioxygenase	2077	1918	1875	2689	2471	2109	2	1	8	0	4	4	16	18	23	24	11	7	30	23	6	12	27	19	40	18	44	95	60	125	61	269	127	164	173	282	349	657	397	3131	1778	2716	4985	7183	1254	4861	4892	5422
CEG38321	hypothetical_protein,_variant_1	4310	3055	3214	5249	4701	3516	78	66	139	111	326	173	117	128	146	139	48	79	41	75	26	26	22	20	68	33	58	528	155	535	623	858	364	469	657	841	652	595	807	571	600	892	1286	1880	378	1750	1403	2263
CEG38322	pyruvate_kinase	1257	1228	1191	1659	1926	1362	18	25	20	37	109	72	74	68	75	92	65	126	109	169	31	34	30	23	125	39	65	505	191	561	684	794	417	491	910	1032	427	327	440	237	345	502	231	190	221	135	171	262
CEG38323	ribonuclease_z	509	526	632	661	808	663	17	23	27	22	24	26	29	12	33	28	14	15	25	68	15	12	15	16	68	30	76	399	148	382	562	737	406	329	781	614	323	277	324	248	309	529	127	78	280	69	78	163
CEG38324	structural_maintenance_of_chromosomes_protein	1743	1659	1843	2169	2498	2111	8	13	33	19	43	22	30	11	21	27	9	21	41	71	23	29	33	53	166	69	139	755	228	829	1227	1524	915	817	1921	1393	901	662	800	728	697	1170	764	885	553	877	839	1355
CEG38325	Epsin-like,_N-terminal	2889	3170	4604	2476	3780	4322	21	18	49	12	52	40	17	7	15	21	3	24	43	55	7	24	21	39	226	96	150	1145	185	1143	2246	3161	1497	1624	2463	2386	2391	2174	2220	3617	2196	3684	7390	11834	3049	12059	12123	9662
CEG38326	recovery_protein_3_isoform_3	621	1042	784	597	895	954	19	21	52	5	27	21	3	8	10	6	3	12	15	52	5	18	25	43	172	94	157	1141	210	1115	2329	2760	1608	1162	2209	2103	1462	1152	1422	1091	849	1532	747	1054	887	1182	1229	1341
CEG38327	urease_accessory_protein_d_isoform_1	328	356	309	480	478	314	4	4	7	3	3	7	1	0	2	5	0	2	14	18	0	2	2	5	23	10	26	224	73	241	264	258	167	214	414	435	253	212	281	189	183	342	148	215	120	204	225	298
CEG38328	hypothetical_protein	13	9	4	10	10	10	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	3	2	3	2	11	4	17	17	5	4	9	9	27	4	12	2	3	8	15
CEG38329	ribosomal_rna_small_subunit_methyltransferase_b	678	605	812	1130	1423	1124	28	115	159	32	71	31	51	25	24	9	1	42	41	34	31	39	43	64	138	96	124	670	50	460	489	624	441	266	307	388	203	151	171	380	326	329	324	276	598	230	316	534
CEG38330	nad_kinase	858	1071	1340	749	1007	1142	24	45	52	10	57	38	8	14	10	10	14	17	23	35	10	14	18	30	119	66	80	728	169	700	1241	1626	930	775	1911	1520	931	816	974	1372	920	1614	1882	3632	1112	3579	4162	4160
CEG38331	hypothetical_protein	1349	1358	1496	1292	1468	1453	4	7	3	1	8	7	3	2	2	6	1	2	10	22	10	2	11	22	43	19	30	341	98	317	519	702	339	412	832	708	596	590	698	845	582	1138	4255	6644	790	7969	5582	6598
CEG38332	glutaredoxin	69	81	60	63	55	49	0	10	10	0	0	0	0	0	0	4	2	3	14	31	5	14	26	16	60	28	47	181	47	207	417	478	281	221	361	438	279	176	278	214	248	401	207	123	222	207	186	201
CEG38333	acetolactate_large_biosynthetic_type	4059	3997	5260	6612	7924	6652	32	162	190	31	45	35	44	30	43	23	10	23	59	72	23	38	76	102	212	140	173	561	59	440	682	1033	568	319	357	406	501	280	331	555	466	590	2096	3031	680	3641	2791	3110
CEG38334	Inositol-polyphosphate_4-phosphatase	2533	4534	3907	3200	4615	4991	13	39	58	60	211	136	76	67	72	30	10	26	53	79	23	45	34	60	194	104	156	463	176	560	891	1003	735	604	1288	1121	611	293	520	409	346	565	698	1378	561	1682	1202	1668
CEG38335	hypothetical_protein	64	65	48	57	47	33	4	8	25	6	18	11	8	7	3	20	5	10	5	6	6	0	5	11	20	13	15	111	37	100	161	257	134	87	120	137	139	116	114	97	114	175	49	52	77	45	57	62
CEG38336	Casein_kinase_II,_beta_subunit	1218	1206	1617	1580	1907	1601	30	52	103	50	122	70	67	42	91	69	30	85	160	251	56	71	117	137	496	242	458	3204	925	3276	4382	5375	3056	3115	3884	5702	3979	3213	3992	3344	2945	5001	3444	4835	2144	5033	4424	5834
CEG38337	bisphosphoglycerate-dependent_phosphoglycerate	1785	2220	2333	2110	2470	2467	3	7	5	9	7	9	9	5	14	13	6	24	38	58	9	18	24	17	59	61	92	1216	321	1218	1718	2217	809	1602	2883	3177	1875	1901	2140	2003	1847	2960	2660	3892	914	4389	3719	3999
CEG38338	u2_small_nuclear_ribonucleoprotein_a	864	986	1020	1107	1201	1124	9	9	18	3	24	21	15	18	26	17	1	25	25	73	14	29	29	65	176	103	158	762	166	660	927	1133	878	707	1335	1149	853	834	776	793	822	1181	843	1248	430	1393	1453	1313
CEG38339	conserved_hypothetical_protein	3117	3515	4628	3787	4515	4324	23	9	22	18	89	49	29	30	39	30	7	64	18	38	18	25	23	35	126	54	107	614	172	527	855	1387	868	644	1139	866	598	497	581	982	716	1175	1680	2430	880	2773	2530	2684
CEG38340	hypothetical_protein	2218	2052	3568	2033	2902	3058	20	18	4	4	30	16	18	3	21	6	3	9	2	11	10	1	3	3	22	10	23	116	51	121	222	221	119	103	168	204	84	60	87	31	70	150	81	149	105	99	126	395
CEG38341	hypothetical_protein_L916_18723	497	503	520	904	918	809	11	12	48	36	58	44	15	20	20	13	1	32	38	40	4	3	14	22	57	44	52	481	160	452	510	661	302	567	1170	1299	436	448	556	407	557	861	235	227	203	242	240	422
CEG38342	hypothetical_protein_L916_18722	2356	2276	3041	2703	3309	3294	159	177	279	60	236	199	115	94	113	65	31	75	92	121	15	58	23	48	207	89	127	1326	376	1300	1471	2010	1094	1087	2244	2297	1416	1389	1513	2187	1984	3449	2235	3143	1156	4204	3423	4155
CEG38343	hypothetical_protein	2	8	2	5	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	1	0	0	0	0	0	0	4	3	0	1	2	0	2	2	3
CEG38344	WW_domain	993	802	1347	1148	1657	1621	10	4	12	12	23	14	12	3	6	16	4	17	9	26	6	7	12	23	90	40	71	346	99	440	679	851	442	384	930	781	448	472	463	661	572	1081	336	370	311	390	519	591
CEG38345	WD40/YVTN_repeat-like-containing_domain	500	513	655	447	666	592	10	4	21	5	23	13	19	12	22	15	5	23	54	51	16	24	18	57	218	83	171	533	132	866	1037	1163	608	583	1223	1283	735	620	746	560	644	935	380	572	429	568	805	1000
CEG38346	Heterochromatin-associated_protein_HP1_and_related_CHROMO_domain_proteins	3063	3257	4695	3603	4897	4973	34	45	120	13	61	45	67	16	27	27	6	14	84	59	28	34	28	60	167	92	193	1047	224	982	1031	1577	868	796	1266	1528	1017	987	1061	1093	1098	1625	3007	4496	1018	4759	4531	3742
CEG38347	hypothetical_protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CEG38348	voltage-gated_ion_channel_superfamily	543	522	797	827	1177	1301	54	124	174	27	113	39	24	14	21	14	0	32	32	56	16	17	14	31	44	31	61	438	67	510	520	703	462	388	724	712	456	423	387	428	290	633	1168	1860	406	2109	2248	2358
CEG38349	hypothetical_protein	14	12	5	6	6	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	11	16	13	11	17	13	12	9	14	39	11	26	140	192	18	123	145	133
CEG38350	hypothetical_protein	739	589	805	691	923	889	0	3	15	2	3	0	2	6	6	0	0	0	5	9	0	3	4	11	145	49	106	1788	404	1679	1285	1147	705	318	827	522	191	103	204	258	395	543	639	443	1082	363	562	939
CEG38351	hypothetical_protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEG38352	hypothetical_protein	16	8	5	21	7	13	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	6	1	0	0	0	0	0	0	2	0	0	0	2	2	0	0	0
CEG38353	hypothetical_protein	5	1	12	2	26	8	0	0	0	0	0	0	0	0	0	2	0	0	2	10	0	0	1	13	70	34	68	210	123	263	74	408	337	132	302	104	105	29	19	15	26	37	8	3	50	2	0	1
CEG38354	adenylosuccinate_synthetase	115	116	160	129	257	219	5	10	3	22	23	16	43	8	43	30	12	103	180	146	103	108	141	256	653	352	523	1350	343	1447	2089	2508	1355	1097	1495	1831	1188	800	1060	761	1025	1103	267	192	1070	152	256	342
CEG38355	tubulin-specific_chaperone_a	1847	1579	1292	1658	1168	1094	8	15	9	1	0	1	1	4	0	3	0	0	14	58	15	15	24	24	110	58	93	1311	249	1236	1561	2226	1110	988	657	1630	1478	1546	1568	1674	1506	2084	2094	2615	716	2347	3003	2359
CEG38356	hypothetical_protein	581	447	838	674	984	1011	41	75	111	16	22	34	12	10	20	12	4	11	25	67	6	37	31	34	86	59	91	574	90	465	745	999	589	499	1010	844	604	573	557	608	561	852	586	788	387	949	853	1062
CEG38357	polyprotein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEG38358	reverse_transcriptase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEG38359	Amine_oxidase	297	327	353	374	347	359	14	60	78	17	29	25	10	16	25	20	4	29	51	58	35	31	24	63	160	87	132	889	195	917	1042	1274	657	726	1516	1420	637	410	640	392	443	753	274	239	689	221	342	462
CEG38360	dna-directed_rna_polymerase_ii_subunit_j	435	505	439	562	476	348	21	26	21	6	21	13	17	7	32	12	0	13	18	24	9	11	12	19	69	49	80	366	113	343	385	518	346	276	570	499	342	286	330	257	334	457	262	292	257	252	369	327
CEG38361	hypothetical_protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEG38362	hypothetical_protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEG38363	hypothetical_protein,_variant_1	3381	3226	3190	3084	3257	3240	95	142	209	59	226	152	91	45	86	36	23	52	58	120	38	34	40	84	148	74	171	885	282	838	1314	1750	1031	1080	1781	2040	1537	1328	1681	2629	1802	3006	4454	6652	1785	6020	5778	7331
CEG38364	3-HYDROXYISOBUTYRATE_DEHYDROGENASE,_MITOCHONDRIAL	95	128	163	171	189	177	14	7	8	2	13	19	11	2	10	0	0	2	15	13	0	0	4	11	27	13	26	232	45	170	264	376	180	135	253	208	151	118	88	200	121	182	70	243	160	94	188	477
CEG38365	hypothetical_protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	13	1	0
CEG38366	NLP-like_protein	36	9	24	24	5	22	1119	2433	4194	273	936	691	468	321	597	322	140	426	819	926	335	358	377	787	2797	1336	2124	4850	1884	6023	5218	8157	4596	1097	1811	992	1019	362	408	480	974	705	328	42	4225	19	16	19
CEG38367	hypothetical_protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEG38368	NLP-like_protein	144	99	134	118	123	117	1720	3530	6865	587	1450	830	791	625	973	374	129	576	1209	1317	493	418	493	953	2312	1350	2141	4233	1638	5441	4669	6298	4038	1442	2331	1738	1172	509	734	679	1295	1186	446	259	3725	226	260	318
CEG38369	hypothetical_protein	364	370	363	449	448	427	8	47	40	3	23	7	13	12	11	5	4	3	34	23	5	5	13	24	43	25	28	136	48	200	373	409	215	178	348	282	90	64	86	56	93	87	213	278	173	428	243	451
CEG38370	hypothetical_protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0
CEG38371	hypothetical_protein	232	228	230	281	293	279	26	96	150	41	74	89	31	25	24	16	3	36	18	17	7	7	7	11	55	15	52	220	46	191	308	290	191	150	335	197	140	49	67	92	124	186	78	76	180	60	57	149
CEG38372	hypothetical_protein	149	134	170	163	266	186	38	147	165	20	174	69	49	31	77	34	2	26	32	26	3	11	2	18	26	27	31	38	14	69	73	109	92	38	92	61	54	29	45	60	28	59	46	86	72	80	99	91
CEG38373	hypothetical_protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEG38374	hypothetical_protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEG38375	IQ_motif,_EF-hand_binding_site	788	856	1033	1342	1762	1659	3	15	9	1	0	5	2	0	0	1	0	3	6	8	0	3	9	6	28	20	27	279	65	299	736	802	364	566	815	1195	875	680	807	646	486	650	694	1516	270	1250	1212	2008
CEG38376	Molecular_co-chaperone_STI1	330	363	422	437	614	577	10	34	32	25	32	10	34	18	27	29	21	77	139	169	97	100	106	251	789	441	629	2455	755	2289	2954	3547	2089	1628	2681	2487	1496	1200	1528	977	1502	1646	466	369	1559	520	531	617
CEG38377	hypothetical_protein	43	53	15	38	36	19	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	1	3	0	4	18	2	15	1	7	2	1	1	2	2	4	1	0	7	7	2	10	8
CEG38378	molybdenum_cofactor_biosynthesis_protein_a	269	370	370	317	395	368	17	3	11	3	5	3	4	1	3	0	0	2	11	7	5	0	0	4	16	3	13	86	40	108	113	135	98	72	167	163	64	45	72	54	77	94	58	121	61	152	104	186
CEG38379	hypothetical_protein	62	60	74	70	111	70	0	0	0	0	2	0	0	0	0	0	0	2	0	9	2	0	0	2	0	1	1	12	2	17	23	12	15	13	30	66	18	9	24	13	8	20	20	23	24	41	29	32
CEG38380	endoplasmic_reticulum-golgi_intermediate_compartment	1710	1865	2551	2239	2796	2705	33	97	162	28	88	92	50	18	73	39	23	36	105	138	47	36	72	149	500	252	361	2212	613	2200	3355	4764	2442	2588	5174	4906	2911	3050	2829	2719	2438	4309	1909	2067	1620	1923	2368	1981
CEG38381	hypothetical_protein_F443_04612	257	219	226	288	271	219	4	8	14	7	0	10	5	6	0	5	4	6	7	13	6	8	7	0	20	8	9	94	36	103	179	207	85	167	255	284	233	201	195	145	171	257	129	202	79	210	161	277
CEG38382	hypothetical_protein	250	220	338	227	347	346	0	3	3	1	3	3	6	5	8	6	7	19	9	19	7	6	5	5	56	23	43	275	78	337	483	612	292	260	593	588	320	289	361	265	247	484	550	1045	393	934	1135	787
CEG38383	serine_protease_family	364	411	446	577	628	611	2	0	0	0	3	1	1	4	0	0	0	3	5	6	0	1	5	1	17	19	24	93	26	101	137	232	97	104	235	298	139	186	138	135	133	249	148	181	93	186	165	159
CEG38384	hypothetical_protein	1640	1394	1206	1739	1420	1266	0	4	0	2	3	5	3	3	7	20	3	12	22	59	12	25	26	46	157	75	114	783	238	739	1012	1328	711	710	1302	1478	938	863	951	618	837	1151	1434	1811	414	2041	1418	1968
CEG38385	cellulose_binding_domain-containing_protein	6711	7566	10617	9814	12854	12956	13	36	56	1	6	12	4	6	0	1	0	9	15	5	0	0	4	2	1	13	13	44	6	47	114	213	98	70	116	89	94	69	63	121	80	153	319	549	141	453	463	356
CEG38386	hypothetical_protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CEG38387	hypothetical_protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEG38388	hypothetical_protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEG38389	hypothetical_protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
CEG38390	hypothetical_protein	284	233	174	211	242	182	3	8	0	1	12	8	2	7	9	8	3	9	7	47	5	5	13	17	17	13	16	184	57	172	356	436	236	270	243	340	239	234	217	274	162	324	946	1365	205	1682	1325	1278
CEG38391	hypothetical_protein	1536	1618	1563	1626	1546	1383	23	19	20	45	113	93	61	58	51	56	46	34	69	82	25	27	23	31	191	97	158	1490	300	1523	2382	2874	1404	1695	2816	3093	1743	1576	1760	1350	1379	2145	1269	1460	1119	1467	1555	1765
CEG38392	hypothetical_protein	3	0	2	2	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	2	1	2	0	1	0	3	0	1	3	2	0	0	4	0	1	0
CEG38393	hypothetical_protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEG38394	hypothetical_protein	42	30	23	33	28	27	0	0	1	0	2	3	8	0	2	0	0	2	3	9	0	1	5	2	2	0	9	55	14	33	79	119	57	42	60	77	62	36	40	52	40	70	194	171	67	124	164	174
CEG38395	hypothetical_protein	53	94	117	69	102	99	0	0	0	0	0	0	2	1	0	3	0	2	4	1	0	0	0	0	0	0	9	9	3	26	43	26	29	31	56	65	20	21	21	17	32	48	15	33	12	39	75	133
CEG38396	Zinc_finger_C2HC_domain-containing_protein	5129	5348	6043	5613	6424	6434	16	14	33	1	3	2	3	2	0	3	7	7	13	5	0	2	5	7	39	25	62	513	156	512	1054	1310	599	621	1268	1400	811	749	860	1101	923	1699	6675	11560	1197	16940	12367	13978
CEG38397	WD40_repeat-containing_protein	227	223	339	250	340	365	0	3	24	4	0	12	1	0	9	1	2	0	15	17	3	11	6	18	93	41	77	493	93	450	601	609	367	352	526	671	464	345	511	391	394	417	285	362	217	457	729	535
CEG38398	hypothetical_protein	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEG38399	Uncharacterized_conserved_protein	740	492	527	726	721	590	16	35	38	14	48	18	16	7	13	5	6	2	3	22	10	18	3	16	39	17	49	133	45	166	241	326	176	123	368	274	160	138	171	173	175	246	484	670	143	710	542	595
CEG38400	hypothetical_protein	129	118	82	156	120	96	21	27	11	6	25	29	16	7	6	14	4	12	23	42	21	8	8	31	57	50	65	410	113	349	457	501	305	320	655	532	295	223	265	180	366	335	192	176	123	178	147	213
CEG38401	hypothetical_protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEG38402	NLP-like_protein	3	9	2	21	15	6	107	145	283	54	39	40	54	33	35	0	0	9	0	10	8	11	6	9	76	23	77	324	89	321	248	311	233	88	230	150	55	44	58	99	76	113	40	27	214	46	38	81
CEG38403	hypothetical_protein	1	3	1	9	18	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	4	10	10	18	19	7	13	83	22	10	1	6	2	2	0	3	0	1	1	4	16	23	4	15	7
CEG38404	tkl_protein_kinase	227	318	365	408	599	746	0	4	10	3	4	5	5	7	7	7	2	4	9	9	8	1	4	10	39	23	29	154	31	151	334	327	193	202	323	304	169	112	147	120	124	272	125	205	166	234	240	252
CEG38405	protein_kinase	386	546	607	456	709	831	2	17	15	13	32	27	10	10	10	14	7	10	11	9	4	7	5	7	29	11	28	218	35	172	278	318	166	177	457	332	136	182	194	253	153	313	434	748	251	900	859	640
CEG38406	atpase_wrnip1	382	389	567	531	748	613	25	35	29	7	36	21	16	11	34	13	2	21	9	31	4	8	4	14	35	15	40	223	42	156	304	494	236	179	305	341	165	139	211	254	210	342	945	646	335	502	734	418
CEG38407	Predicted_alpha/beta_hydrolase	189	123	151	236	217	197	5	6	12	8	41	44	20	17	16	10	2	4	36	20	0	16	5	7	61	16	21	181	50	142	243	407	201	126	217	259	178	105	158	391	220	315	898	843	296	653	849	595
CEG38408	hypothetical_protein	9	9	9	6	19	17	75	128	223	70	196	130	47	57	45	9	2	12	12	18	14	14	13	25	39	30	35	90	29	89	77	291	106	66	90	59	25	12	20	32	35	58	11	5	51	4	10	7
CEG38409	ER_to_golgi_transport_protein/RAD50-interacting_protein_1	23	11	13	19	38	35	7	22	39	9	57	23	21	11	23	21	2	28	16	33	20	8	16	12	93	26	67	446	148	543	540	615	347	263	701	525	206	140	253	101	152	214	68	9	241	7	27	23
